Problem name,experiment number,distance,time (seconds)
att48,0,10965,12.2888
att48,1,11135,12.0993
att48,2,11135,12.0926
att48,3,11135,12.0961
att48,4,10896,12.0058
att48,5,11115,11.9825
att48,6,10912,11.9879
att48,7,10957,11.9968
att48,8,11193,12.0825
att48,9,11152,12.0658
att48,10,11135,12.106
att48,11,11125,12.0615
att48,12,10921,12.0598
att48,13,11123,12.0948
att48,14,10965,12.0888
att48,15,10957,12.1677
att48,16,11120,12.1812
att48,17,10928,12.1381
att48,18,11127,12.1453
att48,19,10965,12.138
att48,20,11078,12.1681
att48,21,10957,12.1485
att48,22,10913,12.139
att48,23,11135,12.1433
att48,24,10854,12.1779
att48,25,11038,12.1781
att48,26,11181,12.1754
att48,27,10921,12.1617
att48,28,10957,12.1535
att48,29,11043,12.1388
bayg29,0,1649,4.51196
bayg29,1,1649,4.49738
bayg29,2,1662,4.49841
bayg29,3,1661,4.49902
bayg29,4,1652,4.49232
bayg29,5,1662,4.48943
bayg29,6,1655,4.50403
bayg29,7,1649,4.49088
bayg29,8,1652,4.5044
bayg29,9,1652,4.50057
bayg29,10,1662,4.49301
bayg29,11,1652,4.49147
bayg29,12,1652,4.51658
bayg29,13,1652,4.49348
bayg29,14,1655,4.49197
bayg29,15,1652,4.49433
bayg29,16,1649,4.50109
bayg29,17,1662,4.49369
bayg29,18,1649,4.49976
bayg29,19,1662,4.4955
bayg29,20,1652,4.50232
bayg29,21,1652,4.49485
bayg29,22,1657,4.50328
bayg29,23,1649,4.49535
bayg29,24,1662,4.5106
bayg29,25,1649,4.50459
bayg29,26,1648,4.49815
bayg29,27,1649,4.49247
bayg29,28,1648,4.49719
bayg29,29,1662,4.49824
bays29,0,2020,4.53519
bays29,1,2020,4.5589
bays29,2,2020,4.53062
bays29,3,2022,4.52661
bays29,4,2020,4.57725
bays29,5,2020,4.60183
bays29,6,2020,4.55708
bays29,7,2026,4.53463
bays29,8,2020,4.53758
bays29,9,2020,4.55054
bays29,10,2026,4.57554
bays29,11,2020,4.54847
bays29,12,2020,4.54246
bays29,13,2020,4.53482
bays29,14,2020,4.56478
bays29,15,2020,4.54117
bays29,16,2020,4.5325
bays29,17,2020,4.55084
bays29,18,2020,4.56832
bays29,19,2022,4.5406
bays29,20,2020,4.54889
bays29,21,2020,4.54263
bays29,22,2020,4.56713
bays29,23,2020,4.54462
bays29,24,2020,4.5392
bays29,25,2020,4.54763
bays29,26,2020,4.56238
bays29,27,2022,4.54227
bays29,28,2020,4.54483
bays29,29,2020,4.53563
berlin52,0,7548.99,13.9672
berlin52,1,7548.99,13.9749
berlin52,2,7548.99,13.9336
berlin52,3,7606.66,13.9496
berlin52,4,7663.59,13.9347
berlin52,5,7641.79,13.9659
berlin52,6,7677.66,13.9393
berlin52,7,7548.99,13.9367
berlin52,8,7677.66,13.9379
berlin52,9,7624.7,13.9645
berlin52,10,7677.66,13.9351
berlin52,11,7663.59,13.9306
berlin52,12,7663.59,13.9422
berlin52,13,7669.29,13.9734
berlin52,14,7677.66,13.9261
berlin52,15,7677.66,13.9369
berlin52,16,7548.99,13.9438
berlin52,17,7590.26,13.9679
berlin52,18,7675.52,13.9489
berlin52,19,7663.59,13.938
berlin52,20,7548.99,13.9311
berlin52,21,7677.66,13.9663
berlin52,22,7663.59,13.9292
berlin52,23,7675.49,13.9328
berlin52,24,7548.99,13.945
berlin52,25,7663.59,13.9438
berlin52,26,7548.99,13.9317
berlin52,27,7548.99,13.9389
berlin52,28,7663.59,13.9634
berlin52,29,7548.99,13.948
br17,0,39,1.56791
br17,1,39,1.56777
br17,2,39,1.56343
br17,3,39,1.57391
br17,4,39,1.58588
br17,5,39,1.58961
br17,6,39,1.59845
br17,7,39,1.62029
br17,8,39,1.59111
br17,9,39,1.59436
br17,10,39,1.59087
br17,11,39,1.59872
br17,12,39,1.59918
br17,13,39,1.60123
br17,14,39,1.59757
br17,15,39,1.59946
br17,16,39,1.60515
br17,17,39,1.59744
br17,18,39,1.59366
br17,19,39,1.59862
br17,20,39,1.60409
br17,21,39,1.59557
br17,22,39,1.59763
br17,23,39,1.59941
br17,24,39,1.62339
br17,25,39,1.60044
br17,26,39,1.5866
br17,27,39,1.59432
br17,28,39,1.59183
br17,29,39,1.59946
brazil58,0,26284,16.9979
brazil58,1,26284,17.0192
brazil58,2,26284,16.9852
brazil58,3,26248,16.9843
brazil58,4,25906,16.9951
brazil58,5,26284,16.9865
brazil58,6,26012,16.9902
brazil58,7,26284,16.9894
brazil58,8,26248,16.9885
brazil58,9,26284,16.9868
brazil58,10,26263,17.0223
brazil58,11,26266,16.9979
brazil58,12,26120,16.986
brazil58,13,26284,16.9968
brazil58,14,26284,16.9835
brazil58,15,26284,16.9844
brazil58,16,26042,16.9929
brazil58,17,26012,16.9853
brazil58,18,26284,16.9578
brazil58,19,26000,16.9693
brazil58,20,26002,16.972
brazil58,21,25915,16.9604
brazil58,22,26284,16.9772
brazil58,23,26284,16.9603
brazil58,24,26284,16.9947
brazil58,25,26000,16.9836
brazil58,26,26284,16.9993
brazil58,27,26000,16.9976
brazil58,28,26284,16.9836
brazil58,29,26246,16.9864
burma14,0,3323,1.1685
burma14,1,3323,1.13711
burma14,2,3323,1.13688
burma14,3,3323,1.13293
burma14,4,3323,1.13642
burma14,5,3323,1.13376
burma14,6,3323,1.13952
burma14,7,3323,1.17041
burma14,8,3323,1.13201
burma14,9,3323,1.13668
burma14,10,3323,1.14979
burma14,11,3323,1.13612
burma14,12,3323,1.13369
burma14,13,3323,1.13452
burma14,14,3323,1.16851
burma14,15,3323,1.14199
burma14,16,3323,1.13222
burma14,17,3323,1.14121
burma14,18,3323,1.13979
burma14,19,3323,1.13385
burma14,20,3323,1.14013
burma14,21,3323,1.16809
burma14,22,3323,1.13694
burma14,23,3323,1.13832
burma14,24,3323,1.14617
burma14,25,3323,1.13644
burma14,26,3323,1.13252
burma14,27,3323,1.13145
burma14,28,3323,1.17702
burma14,29,3323,1.13468
dantzig42,0,727,9.09357
dantzig42,1,731,9.12392
dantzig42,2,737,9.08791
dantzig42,3,716,9.1193
dantzig42,4,735,9.09697
dantzig42,5,718,9.09818
dantzig42,6,733,9.09513
dantzig42,7,722,9.10116
dantzig42,8,723,9.0997
dantzig42,9,707,9.0979
dantzig42,10,709,9.09533
dantzig42,11,722,9.09624
dantzig42,12,738,9.09571
dantzig42,13,734,9.09558
dantzig42,14,727,9.09756
dantzig42,15,716,9.09779
dantzig42,16,730,9.10111
dantzig42,17,728,9.09602
dantzig42,18,716,9.09251
dantzig42,19,726,9.09605
dantzig42,20,738,9.09653
dantzig42,21,722,9.10111
dantzig42,22,737,9.09674
dantzig42,23,723,9.09284
dantzig42,24,700,9.0985
dantzig42,25,726,9.09679
dantzig42,26,722,9.10382
dantzig42,27,727,9.10689
dantzig42,28,736,9.09672
dantzig42,29,707,9.09834
eil76,0,566.129,29.9267
eil76,1,569.748,29.9096
eil76,2,572.21,29.9
eil76,3,569.748,29.9101
eil76,4,571.417,29.9204
eil76,5,569.236,29.9457
eil76,6,572.475,29.9179
eil76,7,569.229,29.9066
eil76,8,569.748,29.9366
eil76,9,572.495,29.9123
eil76,10,565.226,29.9158
eil76,11,572.495,29.9421
eil76,12,569.057,29.9242
eil76,13,569.057,29.908
eil76,14,572.495,29.9247
eil76,15,572.495,29.9077
eil76,16,572.495,29.9125
eil76,17,569.748,29.938
eil76,18,569.726,29.9017
eil76,19,571.571,29.9184
eil76,20,565.818,29.9145
eil76,21,572.495,29.901
eil76,22,569.748,29.931
eil76,23,569.748,29.9047
eil76,24,572.495,29.9076
eil76,25,572.495,29.9345
eil76,26,568.51,29.9101
eil76,27,570.446,29.9049
eil76,28,570.649,29.9092
eil76,29,569.748,29.8991
fri26,0,937,3.66796
fri26,1,937,3.63524
fri26,2,937,3.63478
fri26,3,937,3.6355
fri26,4,937,3.67193
fri26,5,937,3.63407
fri26,6,937,3.63416
fri26,7,937,3.64147
fri26,8,937,3.63531
fri26,9,937,3.66287
fri26,10,937,3.63484
fri26,11,937,3.63867
fri26,12,937,3.63718
fri26,13,937,3.67642
fri26,14,937,3.64025
fri26,15,937,3.63733
fri26,16,937,3.64091
fri26,17,937,3.66471
fri26,18,937,3.65153
fri26,19,937,3.63769
fri26,20,937,3.63916
fri26,21,937,3.66605
fri26,22,937,3.63187
fri26,23,937,3.63758
fri26,24,937,3.63637
fri26,25,937,3.63672
fri26,26,937,3.66251
fri26,27,937,3.64189
fri26,28,937,3.63532
fri26,29,937,3.64068
ft53,0,7568,13.3698
ft53,1,7748,13.3659
ft53,2,7874,13.3499
ft53,3,7830,13.3508
ft53,4,7820,13.3552
ft53,5,7726,13.3862
ft53,6,7785,13.3794
ft53,7,7748,13.3735
ft53,8,7806,13.3466
ft53,9,7850,13.3628
ft53,10,7931,13.3572
ft53,11,7899,13.3561
ft53,12,7680,13.384
ft53,13,7831,13.3779
ft53,14,7714,13.3902
ft53,15,7679,13.3526
ft53,16,7875,13.3504
ft53,17,7798,13.3539
ft53,18,7831,13.359
ft53,19,7799,13.3827
ft53,20,7850,13.3762
ft53,21,7726,13.3872
ft53,22,7726,13.3551
ft53,23,7750,13.353
ft53,24,7645,13.35
ft53,25,7799,13.3535
ft53,26,7792,13.3812
ft53,27,7803,13.3772
ft53,28,7685,13.3494
ft53,29,7797,13.3609
ft70,0,40303,25.2211
ft70,1,40423,25.2247
ft70,2,40233,25.2238
ft70,3,40259,25.2591
ft70,4,40268,25.2309
ft70,5,40182,25.2244
ft70,6,40010,25.239
ft70,7,40259,25.2553
ft70,8,39633,25.2273
ft70,9,40022,25.2239
ft70,10,40201,25.237
ft70,11,39930,25.2341
ft70,12,40129,25.2541
ft70,13,40190,25.2289
ft70,14,40281,25.2327
ft70,15,40302,25.2292
ft70,16,39992,25.2508
ft70,17,40240,25.2363
ft70,18,40104,25.2337
ft70,19,40210,25.2265
ft70,20,40266,25.2559
